mouse,oa_perc,ca_perc,center_perc
Mouse69075,0.09673333333333334,0.7593333333333333,0.14366666666666666
Mouse39121,0.0522,0.7715333333333333,0.17613333333333334
Mouse39122,0.13286666666666666,0.626,0.24106666666666668
Mouse39115,0.07553333333333333,0.6561333333333333,0.2683333333333333
Mouse39135,0.1202,0.6198,0.26
Mouse6674,0.1336,0.7557333333333334,0.10493333333333334
Mouse69071,0.18126666666666666,0.6913333333333334,0.12726666666666667
Mouse39132,0.0156,0.7088666666666666,0.27553333333333335
Mouse0641,0.029333333333333333,0.7901333333333334,0.18053333333333332
Mouse8893,0.15026666666666666,0.6439333333333334,0.2058
Mouse69061,0.10046666666666666,0.6734,0.22606666666666667
